id_emp,codigo,protocolo,empreendimento,tipo,situacao,potencia_mw,rio,municipio,lat_barragem,lon_barragem,lat_casa_forca,lon_casa_forca,lat_barragem_original,lon_barragem_original,lat_barragem_conferida,lon_barragem_conferida,coordenada_status,status_barragem,status_casa_forca,fase_verificada,grau_confianca,observacao,data_conferencia,origem_conferencia,prioridade_siga,siga_fase,siga_nome,chave_local
1,,148856214, CGH SÃO PEDRO DO IGUAÇU,CGH,DEFERIDO,,SÃO FRANCISCO FALSO,SÃO PEDRO DO IGUAÇU / VERA CRUZ DO OESTE,-24.901299,-53.99,,-53.99,-24.901299,-53.99,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH São Pedro do Iguaçu: rio meândrico natural (turvo) em vale florestado, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.9013,-53.99"
2,,25.271.974-1,CACHOEIRA BRAVA,CGH,PROTOCOLADO,4,TURVO,CERRO AZUL / DOUTOR ULYSSES,,,,,,,,,Original/SIGA (não re-medida),Sem imagem suficiente,Sem imagem suficiente,Indefinido,Pendente,"UHE Guaricana: SEM coordenada na base IAT (bar/cf vazios). UHE Guaricana é real e em operação (Serra do Mar, bacia do Rio Arraial/Guaratuba) — INSERIR coordenada manualmente (~-25.69,-48.95) e reverificar.",2026-06-21,propagado:#1560,3,,,"nan,nan"
3,,53306160,CGH  NOVA JAGUARIAÍVA,CGH,DEFERIDO,1.2, JAGUARIAÍVA,JAGUARIAÍVA,-24.281655,-49.695021,-24.257687,-49.694283,-24.281655,-49.695021,,,Original/SIGA (não re-medida),Validado,Validado,Em operação,Médio,"Confirmação DOCUMENTAL (2ª passada): cluster de CGHs em operação no eixo Rio Jaguariaíva/Capivari, Jaguariaíva — operadoras Jaguariaiva Energia SPE / Paraná Geração de Energia (Álamo O&M), energia comercializada no ACL. CGH Nova Jaguariaíva (1,29 MW, turbina Francis horizontal, queda 24,93 m) em operação. Pendente→Validado. Eixo a confirmar no GEP.",2026-06-26,direta,0,Operação,Nova Jaguariaíva,"-24.2817,-49.695"
4,,118188934,CGH  NOVA JAGUARIAÍVA,CGH,DEFERIDO,1.2, JAGUARIAÍVA,JAGUARIAÍVA,-24.281655,-49.695021,-24.257687,-49.694283,-24.281655,-49.695021,,,Original/SIGA (não re-medida),Validado,Validado,Em operação,Médio,"Confirmação DOCUMENTAL (2ª passada): cluster de CGHs em operação no eixo Rio Jaguariaíva/Capivari, Jaguariaíva — operadoras Jaguariaiva Energia SPE / Paraná Geração de Energia (Álamo O&M), energia comercializada no ACL. CGH Nova Jaguariaíva (1,29 MW, turbina Francis horizontal, queda 24,93 m) em operação. Pendente→Validado. Eixo a confirmar no GEP. [propagado de #3, mesma usina/chave_local]",2026-06-26,direta,0,Operação,Nova Jaguariaíva,"-24.2817,-49.695"
5,,15.619.749-1,CGH  NOVA JAGUARIAÍVA,CGH,EM ANALISE,1.2, JAGUARIAÍVA,JAGUARIAÍVA,-24.281655,-49.695021,-24.257687,-49.694283,-24.281655,-49.695021,,,Original/SIGA (não re-medida),Validado,Validado,Em operação,Médio,"Confirmação DOCUMENTAL (2ª passada): cluster de CGHs em operação no eixo Rio Jaguariaíva/Capivari, Jaguariaíva — operadoras Jaguariaiva Energia SPE / Paraná Geração de Energia (Álamo O&M), energia comercializada no ACL. CGH Nova Jaguariaíva (1,29 MW, turbina Francis horizontal, queda 24,93 m) em operação. Pendente→Validado. Eixo a confirmar no GEP. [propagado de #3, mesma usina/chave_local]",2026-06-26,direta,0,Operação,Nova Jaguariaíva,"-24.2817,-49.695"
6,,182359564,CGH ACARAÍ,CGH,DEFERIDO,3.7,SANTA QUITÉRIA,OURO VERDE DO OESTE / SÃO PEDRO DO IGUAÇU,-24.875803,-53.857514,-24.881326,-53.866577,-24.875803,-53.857514,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Acaraú: vale florestado/agrícola com drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.8758,-53.8575"
7,,200782364,CGH ACARAÍ,CGH,PROTOCOLADO,3.7,SANTA QUITÉRIA,OURO VERDE DO OESTE / SÃO PEDRO DO IGUAÇU,-24.875803,-53.857514,-24.881326,-53.866577,-24.875803,-53.857514,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Acaraú: vale florestado/agrícola com drenagem natural, sem barragem. Não construída.",2026-06-21,propagado:#6,3,,,"-24.8758,-53.8575"
8,,157971590,CGH AÇUNGUI 2H,CGH,ARQUIVADO,2.25,AÇUNGUI,CAMPO LARGO,-25.241339,-49.601878,,-49.601703,-25.241339,-49.601878,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Açungui 2H: terreno densamente florestado de serra (cascata Açungui), sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.2413,-49.6019"
9,,189208812,CGH ADAMI,CGH,ARQUIVADO,2.5,CONGONHAS,SANTO ANTÔNIO DO PARAÍSO,-23.500632,-50.615162,-23.489031,-50.612757,-23.500632,-50.615162,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Adami: lavoura com matas ciliares/drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-23.5006,-50.6152"
10,,151171400,CGH AFIRMAC,CGH,DEFERIDO,1,SÃO FRANCISCO,CLEVELÂNDIA,-26.292543,-52.448741,,-52.448903,-26.29275,-52.448903,-26.292543,-52.448741,Confirmada visual,Validado,Pendente de validação,Em operação,Médio,CGH Afirmac: mesma coord do CGH Galina (#355) — reservatório/barramento em área agrícola. Em operação (ANEEL). Possível duplicidade de registro do mesmo aproveitamento.,2026-06-21,direta,0,Operação,ARFIMAC,"-26.2928,-52.4489"
