protocolo,empreendimento,latitude,longitude,lat_casa_forca,lon_casa_forca,autor,data,obs
151171400,CGH AFIRMAC,-26.292543,-52.448741,,-52.448903,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Afirmac: mesma coord do CGH Galina (#355) — reservatório/barramento em área agrícola. Em operação (ANEEL). Possível duplicidade de registro do mesmo aproveitamento.
199711261,CGH AFIRMAC,-26.292543,-52.448741,,-52.448903,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Afirmac: mesma coord do CGH Galina (#355) — reservatório/barramento em área agrícola. Em operação (ANEEL). Possível duplicidade de registro do mesmo aproveitamento.
136727885,CGH ALCEU VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
153596581,CGH ALCEU VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
168806914,CGH ALCEU VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
172881467,CGH ALCEU VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
184862956,CGH ALCEU VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
144880331,CGH BELA VISTA,-25.640278,-51.861389,-25.686516,-51.668894,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Bela Vista: reservatório nítido (água turva) no marcador (Rio Tapera), barramento provável a jusante. Em operação (ANEEL). NOTA: coord IAT original (-25.6939,-51.8699) e casa de força (-25.686,-51.668) divergem — coord SIGA é a correta."
227495340,CGH BELA VISTA,-25.640278,-51.861389,-25.686516,-51.668894,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Bela Vista: reservatório nítido (água turva) no marcador (Rio Tapera), barramento provável a jusante. Em operação (ANEEL). NOTA: coord IAT original (-25.6939,-51.8699) e casa de força (-25.686,-51.668) divergem — coord SIGA é a correta."
46291158,CGH BOA VISTA I,-24.941111,-51.384167,,-51.38925,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Boa Vista I: conjunto completo — barramento/vertedouro no marcador + canal de adução + casa de força (prédio grande a NW), rio turvo (alta vazão). Em operação (ANEEL)."
78431334,CGH BOA VISTA I,-24.941111,-51.384167,,-51.38925,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Boa Vista I: conjunto completo — barramento/vertedouro no marcador + canal de adução + casa de força (prédio grande a NW), rio turvo (alta vazão). Em operação (ANEEL)."
145283876,CGH BOA VISTA I,-24.941111,-51.384167,,-51.38925,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Boa Vista I: conjunto completo — barramento/vertedouro no marcador + canal de adução + casa de força (prédio grande a NW), rio turvo (alta vazão). Em operação (ANEEL)."
158858851,CGH CAMPO BONITO,-25.010053,-52.975287,,-52.975287,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Médio | Fase: Em operação — CGH Campo Bonito (2ª passada, zoom resolução nativa): aproveitamento CONSTRUÍDO numa queda natural (cachoeira de água branca espumante) no Rio Bandeira, com casa de força (edificação de telhado metálico) intacta ao lado da queda; rótulo do GEP 'CGH CAMPO BONITO' no local. Reclassificado de Pendente → Validado/Operação. Mais uma CGH construída no grupo prio-3 sem match SIGA (como #445/#234/#25/#490). Grau Médio: confirmar conduto/tomada d'água e operação em campo."
224886284,CGH CAMPO BONITO,-25.010053,-52.975287,,,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Médio | Fase: Em operação — Mesmo local da CGH Campo Bonito (#153, mesmo chave_local -25.0101,-52.9753): aproveitamento construído em queda natural do Rio Bandeira com casa de força ao lado da cachoeira (rótulo GEP 'CGH CAMPO BONITO'). Validado/Operação (2ª passada). Confirmar conduto/operação em campo."
90579924,CGH CANDÓI,-25.607394,-51.923906,,-51.923905,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Candói: reservatório a S + complexo de edificações/barramento no marcador. Em operação (ANEEL).
26.048.104-5,CGH CANDÓI,-25.607394,-51.923906,,,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Candói: reservatório a S + complexo de edificações/barramento no marcador. Em operação (ANEEL).
78429690,CGH CAPIVARA,-25.640278,-51.861389,,-51.858382,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
130838570,CGH CAPIVARA,-25.640278,-51.861389,,-51.858382,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
