linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
2,148856214,CGH SÃO PEDRO DO IGUAÇU,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
2,148856214,CGH SÃO PEDRO DO IGUAÇU,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
2,148856214,CGH SÃO PEDRO DO IGUAÇU,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
3,25.271.974-1,CACHOEIRA BRAVA,latitude/longitude,Registro sem coordenada geográfica válida,CRITICO,Verificar e preencher latitude/longitude no Paraná (WGS84)
4,53306160,CGH NOVA JAGUARIAÍVA,data_validade,Licença vencida em 2008-08-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
5,118188934,CGH NOVA JAGUARIAÍVA,data_validade,Licença vencida em 2019-07-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
7,182359564,CGH ACARAÍ,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
9,157971590,CGH AÇUNGUI 2H,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
10,189208812,CGH ADAMI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
11,151171400,CGH AFIRMAC,data_validade,Licença vencida em 2023-07-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
13,79110981,CGH ÁGUA BENTA,data_validade,Licença vencida em 2024-03-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
15,185248852,CGH ÁGUA DO BRAZ,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
16,141138120,CGH ÁGUA DO BRAZ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
18,189962487,CGH ÁGUA PARADA,data_validade,Licença vencida em 2025-06-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
20,79116220,CGH ÁGUA SANTA,data_validade,Licença vencida em 2024-02-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
22,141139320,CGH ÁGUA SANTA (CONSTRUNÍVEL),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
24,188687040,CGH AGUAS PERDIDAS,data_validade,Licença vencida em 2023-07-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
25,163752360,CGH ALBERTI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
25,163752360,CGH ALBERTI,tipologia/potencia,Potência 0.2 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
26,136727885,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2020-02-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
26,136727885,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
27,153596581,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2021-05-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
27,153596581,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
28,168806914,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
29,172881467,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2024-06-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
29,172881467,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
30,184862956,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
31,136728245,CGH ALCEU VIGANÓ II,data_validade,Licença vencida em 2020-02-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
32,180972560,CGH ALGACIR,data_validade,Licença vencida em 2023-10-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
36,149448454,CGH ALIANÇA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
37,79227897,CGH ALTO ALEGRE,data_validade,Licença vencida em 2016-06-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
39,185298000,CGH ALTO TRICOLOR,data_validade,Licença vencida em 2025-09-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
41,187476011,CGH ALVORADA,data_validade,Licença vencida em 2025-03-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
43,150826314,CGH AMANAYTU,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
44,161833924,CGH AMANAYTU,tipologia/potencia,Potência 0.3 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
46,187077311,CGH ARARAS,data_validade,Licença vencida em 2023-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
47,154991204,CGH ARARAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
49,189955995,CGH ARIRANHA,data_validade,Licença vencida em 2023-06-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
51,151137610,CGH ARROIO DA COTIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
52,185277852,CGH ARVOREDO,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
54,77036806,CGH ASSIS CHATEAUBRIAND,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
55,135939544,CGH AVECON,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
56,228953849,CGH AZUL,tipologia/potencia,Potência 0.5 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
58,157709682,CGH AZUL I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
61,181331518,CGH AZUL II,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
62,162807331,CGH AZUL II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
63,139609484,CGH BAIXO ANDRADA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
63,139609484,CGH BAIXO ANDRADA,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
64,140228788,CGH BAIXO ANDRADA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
65,146181147,CGH BAIXO ANDRADA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
66,257675335,CGH BANDEIRA,data_protocolo,Data de protocolo ausente,MEDIO,Preencher a data de protocolo do processo
66,257675335,CGH BANDEIRA,tipologia/potencia,Potência 0.55 MW incompatível com a tipologia MGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
70,147291027,CGH BANDIERA RONFIM,data_validade,Licença vencida em 2020-09-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
72,166967708,CGH BANDIERA RONFIM,data_validade,Licença vencida em 2023-05-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
73,184622823,CGH BARRA DO AMPERE,data_validade,Licença vencida em 2023-03-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
75,185231259,CGH BARRA DO BUGRE,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
77,142117037,CGH BARRA DO LEÃO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
79,185812774,CGH BARRA MANSA,data_validade,Licença vencida em 2024-10-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
81,173139802,CGH BARRA MANSA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
84,144880331,CGH BELA VISTA,data_validade,Licença vencida em 2023-02-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
86,147391790,CGH BELTRAME,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
87,162265644,CGH BELTRAME,data_validade,Licença vencida em 2024-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
